FFQ	11	0	0	877	0	0	8	46	84	1014	1110	1071	71	28	49	56	509	1468	888	780	980	46	381	231	1051	3376	2967	1460	5155	679	2803	9596	7513	7575	11428	18713	17362	30446	33597	101742	88887	319440	969838	0
FFQ	12	0	0	944	0	0	9	58	103	941	1206	711	34	44	64	44	667	1527	694	758	1013	64	414	262	1140	3565	2967	1566	4815	746	3009	10537	7777	7253	12181	18798	19356	30840	34216	106573	88140	327466	952823	0
FFQ	13	0	0	1149	0	0	14	67	120	1015	1392	536	30	41	83	68	714	1571	483	798	980	64	511	263	1169	3641	3194	1598	4556	745	2935	11047	8113	6604	12564	18649	20794	30983	35135	111906	87324	334856	937613	0
FFQ	14	0	0	1198	0	0	24	82	150	1203	1828	518	23	51	88	97	875	1831	438	802	1046	89	582	334	1206	3923	3548	1741	4426	804	3081	11899	8170	6422	13308	18575	22668	30967	36456	116034	87028	342093	919716	0
FFQ	15	0	0	1305	0	0	18	79	184	1142	1770	284	22	47	104	108	1037	1743	300	765	1021	91	581	350	1185	3873	3821	1777	4497	905	3349	12311	8478	6238	14130	18876	24583	30443	37310	120137	87048	349255	904157	0
FFQ	16	0	0	1495	0	0	18	102	217	1257	1994	184	30	73	114	137	1082	1564	193	894	1115	96	666	396	1327	4092	3719	1820	4196	1017	3415	13018	9090	6273	15038	18650	26326	30272	38480	124797	86759	355368	888040	0
FFQ	17	0	0	1684	0	0	24	119	283	1235	2011	102	26	76	158	148	1154	1480	190	877	1077	138	737	478	1355	4132	3619	1971	4362	1165	3607	13036	9225	6301	15990	18372	28083	30386	39835	129184	87576	362272	870856	0
FFQ	18	0	0	1792	0	0	31	136	320	1230	2130	83	30	91	174	143	1351	1335	156	922	1135	146	814	518	1397	4231	3428	2116	4432	1234	3733	13202	9620	6518	16712	18797	29862	30242	40791	133345	88193	369394	853538	0
FFQ	19	0	0	1995	0	0	30	140	335	1353	2243	58	42	107	208	187	1431	1259	164	934	1202	205	822	580	1558	4419	3452	2227	4421	1424	3945	13274	9796	6638	17949	18253	31175	30139	42076	130967	94165	376334	837814	0
FFQ	20	0	0	2279	0	0	43	167	398	1387	2310	37	42	131	231	227	1656	1245	165	928	1329	217	891	636	1635	4417	3419	2420	4608	1688	3974	13434	10264	6714	19096	18934	33062	30807	43974	135026	94753	381235	819539	0
FFQ	21	0	0	2475	0	0	40	184	453	1252	2253	40	45	138	268	266	1678	1022	195	997	1346	269	930	761	1771	4642	3377	2607	4633	1889	4182	13539	10684	7009	20007	18735	34715	31355	45229	140120	97048	388745	798417	0
FFQ	22	0	0	2642	0	0	48	226	624	1363	2401	27	52	201	332	295	1750	933	184	1020	1351	305	1030	802	1948	4939	2998	2845	4820	2178	4316	13584	11175	7534	21374	18963	36430	32823	47127	145455	99491	392434	777296	0
FFQ	23	0	0	2919	0	0	29	191	477	1073	1735	35	58	198	319	328	1769	790	165	772	1040	378	902	806	1941	4291	2865	2716	3845	2173	3314	13311	9857	6572	20198	15678	35506	25795	45799	118085	109181	339324	868877	0
FFQ	24	0	0	4589	0	0	44	253	560	1151	1841	41	67	264	388	406	1924	634	224	857	1115	477	960	1003	2210	4546	2786	3126	4000	2626	3412	13751	10642	7047	21912	16419	37794	27308	48168	122109	114270	336845	847541	0
FFQ	25	0	0	5388	0	0	41	325	763	1564	2469	40	90	306	527	499	2367	618	227	1005	1334	736	993	1256	2606	5123	2937	3427	4198	3560	3664	15507	11674	7693	24599	18032	41318	29199	56014	134662	131217	351107	776224	0
FFQ	26	0	0	4926	0	0	44	251	671	1159	1744	47	89	515	560	513	2853	534	264	895	1162	596	972	1076	2485	4602	2265	3491	4042	3434	3720	12708	10935	7708	22356	17408	38470	28987	51783	123955	122912	359179	803991	0
FFQ	27	0	0	5245	0	0	51	287	793	1192	1710	65	96	445	557	482	2303	369	309	916	1175	613	885	1111	2577	4343	1800	3614	3883	3534	3952	11863	11056	7869	21756	17742	38253	30354	50639	119133	111013	344293	837018	0
FFQ	28	0	0	4705	0	0	42	242	661	1001	1387	59	131	541	592	476	2193	286	256	801	932	739	879	1285	2793	4028	1695	3404	3477	3760	3579	11058	10598	7323	20906	16539	38666	28649	51829	104225	114021	310106	889428	0
FFQ	29	0	0	5146	0	0	62	239	714	985	1258	56	97	333	588	486	1405	225	265	787	983	766	831	1387	2624	3828	1377	3486	3482	4065	3678	9958	10587	7572	20096	17104	38742	31009	51718	89839	120449	296747	910315	0
FFQ	30	0	0	5281	0	0	45	283	824	1070	1250	40	117	390	629	534	1387	201	264	820	1045	700	803	1230	2628	3683	1126	3687	3368	4298	3765	9286	10730	7766	19109	18023	40110	32847	54281	87473	120430	290360	913403	0
FFQ	31	0	0	5626	0	0	65	299	850	1041	1108	63	126	499	701	548	1233	185	277	831	1014	793	850	1474	2848	3697	977	4072	3582	4643	3945	8864	10884	8270	18996	19123	42001	34893	56626	86610	122606	286546	906516	0
FFQ	32	0	0	5739	0	0	61	262	839	1164	1096	61	124	462	792	573	1084	202	294	961	1073	860	866	1508	2913	3572	891	4246	3559	5150	4113	8592	11425	8633	18958	20760	44922	36989	59594	87161	126754	282175	894852	0
FFQ	33	0	0	6115	0	0	42	324	872	1106	1000	68	95	359	759	596	915	195	270	940	1057	885	830	1647	2912	3345	852	4359	3397	5274	4259	7839	11263	8974	18402	21290	48454	39583	63562	82761	132682	274769	891225	0
FFQ	34	0	0	6308	0	0	57	330	878	1258	857	59	132	409	835	630	805	184	264	903	1081	938	861	1676	3020	3205	748	4532	3428	5711	4411	7519	11870	9269	18311	22702	52509	42007	67966	82495	138548	268322	878238	0
FFQ	35	0	0	6638	0	0	74	336	940	1311	801	55	136	390	884	638	643	187	293	973	1076	1005	868	1934	3087	2044	1768	4903	3169	6363	4570	6996	12457	9898	18444	24181	57691	45239	71155	84508	145600	261964	860053	0
FFQ	36	0	0	7210	0	0	74	389	930	1331	678	88	140	343	945	651	538	169	348	1081	1050	1049	926	2076	3218	1913	1804	5126	3288	6957	4876	6785	13065	10200	18153	25913	62383	48992	78599	84422	152978	257532	837047	0
FFQ	37	0	0	7355	0	0	56	391	994	1543	666	129	185	530	1051	666	512	192	341	1138	1125	1117	959	2167	3253	1831	1852	5492	3131	7252	5161	6869	13422	10836	18352	27765	68507	53445	85626	84310	160757	252412	811867	0
FFQ	38	0	0	7722	0	0	83	414	1044	1616	562	91	186	440	1180	724	443	199	360	1235	1057	1320	979	2338	3302	1688	1902	5996	3170	7752	5391	6754	13964	11529	18630	29327	75066	58346	94172	83566	169537	246357	784807	0
FFQ	39	0	0	8083	0	0	68	453	1128	1665	423	102	212	410	1206	631	388	199	382	1271	1088	1304	952	2625	3118	1487	1894	6496	3081	8156	5840	6788	14883	12101	18922	31943	83400	63618	102197	83207	177358	240955	755205	0
FFQ	40	0	0	8418	0	0	85	445	1259	1875	445	129	240	435	1337	674	339	238	396	1407	1092	1417	1042	2799	3150	1406	1978	6932	3061	8470	6248	6836	15194	13124	18947	34205	92908	70667	109443	82411	188255	234063	721867	0
FFQ	41	0	0	8847	0	0	85	398	1183	1783	288	105	240	420	1378	687	318	202	320	1505	1088	1469	1069	2891	3171	1374	2098	7370	2901	8821	6718	7031	15803	13488	19041	36989	102761	77469	117735	81317	200629	225910	688331	0
FFQ	42	0	0	9169	0	0	89	399	1202	1828	248	130	279	449	1339	577	268	196	412	1553	1073	1535	1127	3226	2955	1325	2061	7730	2893	9070	7042	7312	16559	14327	19591	39395	115038	84858	126769	79679	212409	216780	652332	0
FFQ	43	0	0	9622	0	0	107	405	1274	1929	192	110	289	415	1326	532	214	198	366	1618	1013	1575	1153	3196	2846	1237	2209	8095	2818	9374	7606	7538	16951	15259	20300	42361	127279	93710	135777	77707	221340	208404	616873	0
FFQ	44	0	0	10094	0	0	106	448	1299	1916	143	138	296	409	1362	516	212	201	408	1784	1016	1704	1187	3511	2712	1227	2333	8569	2771	9452	8059	8029	17446	15723	20974	44577	142027	101471	147950	75828	229665	197982	579667	0
FFQ	45	0	0	10409	0	0	126	486	1400	2009	110	163	364	431	1386	521	189	217	404	1560	1226	1695	1213	3474	2862	1197	2451	8930	2554	9319	8859	8437	18280	16697	22250	47982	157065	110167	159858	74162	237730	187193	539828	0
FFQ	46	0	0	11131	0	0	130	436	1393	1909	73	186	394	389	1455	463	177	217	448	1751	1288	1976	1254	3522	2657	1360	2584	9326	2454	9247	9496	8843	19303	17006	22946	50985	176309	117597	172629	71788	245294	176447	498328	0
FFQ	47	0	0	11492	0	0	122	402	1573	1841	68	203	450	452	1436	462	202	245	412	1767	1225	1979	1262	3625	2487	1458	2718	10105	2468	9048	9862	9493	19524	18096	24025	54654	194684	127923	184653	68477	252582	163448	458258	0
FFQ	48	0	0	11920	0	0	134	448	1668	1871	37	196	437	401	1389	475	194	225	528	1905	1199	2147	1385	3709	2493	1432	2923	10300	2493	9001	10759	9901	19972	19131	25574	58348	217186	136861	195173	65116	257353	151887	417001	0
FFQ	49	0	0	12626	0	0	146	454	1819	1939	32	212	393	429	1428	380	210	251	491	1991	1127	2186	1439	3783	2411	1439	3029	10763	2497	8826	11313	11053	20377	19939	27174	62313	238420	147021	207830	61951	260754	138318	376402	0
FFQ	50	0	0	13178	0	0	141	446	1771	1861	14	240	529	397	1416	409	226	260	531	2106	1143	2427	1501	3711	2114	1899	3325	11354	2634	8737	11936	11703	21084	20848	28875	67693	260990	159091	217317	58480	263097	125804	333868	0
FFQ	51	0	0	13613	0	0	140	433	2013	1837	14	272	549	371	1472	445	202	263	542	2241	1099	2497	1563	3677	1957	2061	3428	11515	2690	8533	13000	12242	21952	21776	30816	72091	285605	170749	226999	55345	262125	112897	294124	0
FFQ	52	0	0	14327	0	0	154	407	2076	1732	10	272	491	320	1373	392	237	246	548	2306	1117	2693	1650	3546	2181	2201	3553	12068	2958	8157	13743	12883	22272	22965	32596	77523	311761	180810	234692	51379	261083	100645	255774	0
FFQ	53	0	0	14776	0	0	186	422	2116	1652	9	298	605	404	1334	336	246	280	546	2509	1076	2738	1686	3372	1939	2310	3786	12381	2945	8008	14709	13321	22910	23844	34764	82106	341295	193219	240964	46932	254494	87184	221433	0
FFQ	54	0	0	15450	0	0	184	432	2208	1533	6	289	600	368	1255	400	282	249	580	2536	1127	2949	1729	3333	2153	2378	4070	12883	2933	7738	15401	14069	23458	24672	36538	87342	369357	203889	247965	42742	245952	75696	188385	0
FFQ	55	0	0	16029	0	0	183	415	2458	1524	3	343	666	388	1248	377	279	270	694	2648	1057	3119	1714	3207	2097	2496	4253	12312	3790	7359	16187	14840	24360	25456	39159	94381	400955	212443	252562	39300	231579	65365	157606	0
FFQ	56	0	0	16757	0	0	189	408	2376	1439	5	496	883	465	1720	320	377	213	744	2618	1395	4582	2224	4133	2925	4154	5910	19610	6047	13503	29270	33759	55783	64847	83899	223153	324396	214333	165760	40838	211400	59593	42590	0
FFQ	57	0	0	17217	0	0	197	349	2494	1275	2	412	786	420	1311	298	395	239	619	2529	1173	3812	1833	3322	2351	2948	5039	14408	4710	8070	20697	20055	34502	38620	70156	179551	405628	230400	206066	32777	217166	63938	47335	0
FFQ	58	0	0	17846	0	0	249	373	2589	1215	2	417	685	424	1154	283	355	245	729	2648	1093	3704	1698	2654	2237	2636	5153	13288	4390	6550	18622	16648	28101	30307	52012	128206	486858	237179	241597	27498	189174	50017	64255	0
FFQ	59	0	0	18334	0	0	221	325	2401	1001	1	424	794	423	1026	270	439	280	714	2687	1137	3863	1647	2372	2261	2802	5102	12634	4382	5711	18469	15888	26695	28339	47594	117109	534911	247922	244681	22664	170089	32290	65180	0
FFQ	60	0	0	18903	0	0	201	345	2744	1041	1	480	794	412	924	261	439	280	754	2835	1089	3927	1568	2188	2330	3024	5331	12302	4777	5243	18682	15585	26467	28195	47271	116252	575353	255129	238863	18984	151566	23161	55375	0
FFQ	61	0	0	19567	0	0	238	300	2631	857	0	489	811	472	851	268	451	262	792	2790	1163	3936	1512	1967	2460	3120	5750	11890	4990	5000	19257	15683	26581	28380	48724	119971	611515	261887	227482	15548	133552	17412	44510	0
FFQ	62	0	0	20428	0	0	242	309	2813	823	0	472	755	454	786	264	465	258	769	2988	1235	4171	1491	1730	2472	3331	6135	11866	5238	4909	19844	15948	27382	29066	50563	125268	647788	263475	214135	13002	115091	13214	33877	0
FFQ	63	0	0	21167	0	0	370	263	2826	705	0	538	737	493	712	245	559	305	832	2897	1332	4412	1464	1542	2580	3426	6513	11640	5563	4382	20414	15987	28354	29619	52138	129851	681464	265824	199375	10713	98010	9903	25889	0
FFQ	64	0	0	22047	0	0	281	321	3086	640	1	539	776	473	622	219	561	264	899	3045	1380	4437	1453	1387	2709	3683	7107	11443	5880	3990	21002	16199	28844	30568	53854	135460	712869	266875	183942	8852	80233	7700	19399	0
FFQ	65	0	0	22853	0	0	308	229	2974	629	0	606	817	479	594	254	589	304	979	3160	1475	4724	1364	1261	2736	3715	7558	11149	6005	3870	21870	16160	29855	31239	55103	141700	744396	265086	167273	7184	64347	5671	14514	0
FFQ	66	0	0	23808	0	0	272	276	3025	506	1	686	745	478	516	262	585	291	964	3228	1627	4792	1313	1081	3011	3877	8016	10852	6539	3764	22362	16207	30812	31748	56687	147117	776349	259387	148959	5685	51996	4289	10917	0
FFQ	67	0	0	24845	0	0	275	305	3102	497	1	578	769	498	423	223	641	278	977	3322	1612	4869	1159	953	3020	4392	8422	10349	6736	3609	22970	16402	31156	32306	58801	150690	804320	254830	133151	4561	40346	3184	8458	0
FFQ	68	0	0	25953	0	0	323	236	3116	444	0	647	726	509	428	228	669	328	1012	3199	1841	4949	1157	819	3013	4276	8832	10117	7092	3248	23301	16827	32053	33190	60585	156635	829838	247183	116324	3574	31337	2493	6528	0
FFQ	69	0	0	27184	0	0	322	229	3198	350	0	678	674	447	334	209	742	358	1023	3285	1881	5147	1012	731	3116	4337	9711	9367	7578	3264	23789	16493	32433	33821	62538	161222	852295	241583	100096	2741	23806	1952	5084	0
FFQ	70	0	0	28517	0	0	306	218	3155	332	0	745	717	485	270	205	714	324	1121	3232	2032	5093	904	623	3437	4355	10068	9170	8074	3226	24344	17095	33293	34640	63762	165161	875175	231242	85271	2112	18126	1513	3973	0
FFQ	71	0	0	30109	0	0	297	195	3178	279	0	761	619	453	233	163	775	337	1123	3390	2103	5112	805	572	3436	4547	10365	8471	8210	2740	24649	17261	33899	35525	64342	172460	892017	223771	71113	1630	13871	1186	3033	0
FFQ	72	0	0	31836	0	0	357	170	3468	255	0	873	631	469	178	166	844	354	1145	3634	2223	5171	753	516	3516	5007	10929	8011	8776	2601	25382	17435	34844	36452	65209	176394	906462	214383	59433	1221	10699	889	2344	0
FFQ	73	0	0	33692	0	0	342	161	3179	241	0	865	550	447	163	177	825	339	1177	3478	2364	5060	638	454	3626	5069	11327	7302	9155	2414	26139	17211	34836	36756	67487	179982	919648	206511	49535	985	8391	730	1774	0
FFQ	74	0	0	35964	0	0	354	142	2977	202	0	778	567	417	115	123	872	352	1210	3541	2435	5136	563	461	3663	5089	12041	6750	9548	2308	26281	17718	36224	37831	69065	183260	929320	197281	41008	822	6747	526	1339	0
FFQ	75	0	0	38521	0	0	328	119	2770	185	0	713	480	142	334	146	852	306	1113	3324	2507	4775	487	387	3752	5186	12321	6094	9869	2145	26105	18265	36349	38513	70086	187613	940361	186991	34348	673	5501	395	974	0
FFQ	76	0	0	41909	0	0	323	74	2539	189	0	730	447	105	298	94	765	345	1269	3297	2549	4629	365	353	3747	5125	12496	5502	10016	1903	26610	18380	36858	38989	71474	190809	947407	178805	28517	510	4640	256	706	0
FFQ	77	0	0	45883	0	0	233	73	2084	130	3	600	339	65	287	88	875	338	1050	3313	2606	4447	301	323	3680	5385	12616	5002	10376	1789	26572	18175	37436	39718	72690	194746	951278	171643	24247	420	3610	185	424	0
FFQ	78	0	0	50892	0	0	167	38	1607	75	0	530	214	46	219	60	784	327	1116	3223	2593	4012	257	310	3769	5327	12969	4405	10776	1560	26664	18478	38582	40087	74457	198107	952719	164190	20812	325	2981	112	240	0
FFQ	79	0	0	56761	0	0	40	7	577	30	0	231	108	24	106	34	706	307	1046	3196	2537	3676	195	313	3556	5250	12725	3730	10705	1392	26608	18598	38873	40744	75030	201020	954696	159246	18097	282	2430	48	106	0
FFQ	80	0	0	63900	0	0	0	0	0	0	0	0	2	0	10	2	721	307	947	3236	2316	3510	158	335	3398	5273	12487	3204	10739	1248	26134	18979	39891	41659	75896	206401	950998	153037	16050	201	1928	22	41	0
FFQ	81	0	0	76057	0	0	0	0	0	0	0	0	0	0	0	0	2434	1313	2885	12421	7790	9640	459	1334	9572	14166	37807	8236	29644	3406	70565	44809	96622	97062	116736	381277	544479	66423	6951	183	750	3	6	0
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	7533	0	0	19	24	47	994	241	3676	1332	24	24	15	126	978	709	4748	1195	19	220	203	850	1561	4335	1413	9079	457	2697	6196	7288	12457	9752	19737	10403	27968	30029	78833	94025	264367	1039752	0
LFQ	2	0	0	6871	0	0	15	27	63	1011	320	3621	1248	24	30	8	211	1045	1118	4812	1225	30	243	163	944	1760	4250	1456	8522	474	2646	6556	7317	12104	9939	19389	10851	28406	29983	80633	97320	268905	1029786	0
LFQ	3	0	0	7073	0	0	19	24	57	1109	460	3526	1206	21	32	17	249	1212	1353	4335	1224	22	273	185	1017	2051	4062	1470	8581	484	2650	6786	7468	11907	10095	19550	11353	28815	30116	82989	101011	273561	1016963	0
LFQ	4	0	0	7419	0	0	26	34	88	1257	597	3737	1141	18	46	22	285	1321	1179	3499	1249	36	302	191	1087	2285	4127	1481	8558	510	2776	7440	7549	12089	10568	19717	11841	29061	30639	86636	93633	257778	1033104	0
LFQ	5	0	0	7647	0	0	20	44	99	1402	765	3580	996	31	51	28	370	1561	1388	3109	1270	37	289	227	1151	2700	4014	1578	8398	539	2834	8101	7701	11872	10644	20294	12486	30181	31724	89807	94350	266993	1015045	0
LFQ	6	0	0	8035	0	0	23	45	80	1570	1044	3635	879	41	52	19	457	1724	1574	2773	1377	53	345	232	1333	2973	3997	1605	8347	571	2902	8537	8037	11347	10999	20475	13197	30504	32191	92869	96137	277407	995940	0
LFQ	7	0	0	8341	0	0	27	53	102	1528	1280	3211	673	45	61	42	586	2034	1761	2386	1367	46	386	266	1390	3407	4005	1590	8299	639	3091	9392	8084	11184	11465	20387	14141	31154	32617	96842	95344	287612	978488	0
LFQ	8	0	0	8643	0	0	23	68	132	1772	1487	3131	546	35	67	57	658	2202	1880	1891	1378	48	501	230	1442	3883	3911	1683	7656	649	3054	10269	8141	10489	11878	20837	14966	31121	33334	100065	95964	297774	961460	0
LFQ	9	0	0	9102	0	0	23	72	107	1872	1840	2733	347	43	76	70	792	2443	1895	1564	1477	55	506	295	1463	4294	4017	1763	7252	715	3177	11039	8491	9968	12142	20896	15975	31373	33861	104476	94820	307392	944899	0
LFQ	10	0	0	9433	0	0	15	95	158	2079	2311	2564	225	46	96	71	902	2541	1697	1431	1471	68	505	270	1556	4582	4219	1739	6857	772	3249	11864	8740	9265	12771	21200	17379	31948	34875	108467	94067	318187	925610	0
LFQ	11	0	0	9786	0	0	29	114	198	2357	2882	2379	121	74	114	92	1129	2962	1704	1289	1560	102	564	382	1603	4926	4466	1793	6742	842	3433	13012	8934	8923	13092	20920	18774	32101	35163	113401	94618	326539	906205	0
LFQ	12	0	0	10279	0	0	28	122	194	2246	3053	1729	73	82	113	109	1250	3029	1349	1273	1484	100	677	373	1639	5043	4903	1933	6350	966	3513	13972	9178	8379	13993	21224	20297	32391	35607	117484	93510	334673	890707	0
LFQ	13	0	0	10675	0	0	35	139	233	2407	3272	1307	55	70	145	116	1444	3067	1018	1262	1550	118	687	394	1710	5166	5001	1968	5946	1026	3528	14990	9548	7643	14711	21324	21781	32446	37269	123171	91574	341521	875008	0
LFQ	14	0	0	11190	0	0	42	133	310	2494	3788	943	49	83	158	149	1639	3194	682	1223	1596	136	799	487	1742	5369	5411	2174	5640	1114	3664	15419	9750	7406	15728	21416	23953	32261	38102	128077	91631	347017	858356	0
LFQ	15	0	0	11685	0	0	32	185	367	2661	4208	644	39	128	179	223	1907	3124	519	1237	1630	125	904	552	1804	5553	5570	2242	5597	1237	3887	16432	10170	7109	16597	21455	25727	32541	39491	133238	91203	354068	839054	0
LFQ	16	0	0	12233	0	0	46	197	436	2615	4391	395	45	126	199	201	2024	2995	341	1324	1652	182	942	615	1813	5764	5662	2315	5415	1426	3927	16761	10503	6989	17390	21096	27666	32524	40413	137505	91887	360204	823105	0
LFQ	17	0	0	12947	0	0	46	236	502	2690	4604	230	50	151	267	242	2295	2882	282	1380	1693	209	1153	722	1981	5779	5517	2566	5348	1613	4127	17138	10865	6963	18590	21081	29843	32658	41739	143392	91834	364823	804885	0
LFQ	18	0	0	13125	0	0	44	257	557	2379	4121	125	51	203	324	287	2656	2915	246	1190	1485	229	1090	708	1929	5303	5486	2513	4649	1562	3491	17606	10214	6395	18378	18850	30278	27312	41771	129388	99702	330164	856339	0
LFQ	19	0	0	13607	0	0	65	295	563	2567	4252	102	52	200	381	365	2842	2389	211	1196	1472	281	1070	799	2173	5593	5240	2616	4654	1809	3627	17253	10154	6317	19188	18074	30755	26901	41967	124056	101623	329881	858731	0
LFQ	20	0	0	14138	0	0	64	275	698	2353	4062	58	57	201	373	393	2842	2073	197	1118	1552	306	1105	885	2172	5526	4854	2726	4759	2006	3655	16691	10464	6446	20147	17922	31916	26702	42278	123524	99530	330177	859076	0
LFQ	21	0	0	14660	0	0	45	308	756	2291	4223	69	67	227	444	411	2829	1759	237	1176	1641	324	1152	982	2458	5807	4423	2893	4740	2134	3991	16436	10638	6781	20853	17629	33337	26993	43155	126354	98327	330360	852410	0
LFQ	22	0	0	15167	0	0	64	373	838	2195	4020	63	71	268	512	506	2856	1481	230	1216	1577	373	1215	1023	2541	5824	4023	3084	4739	2442	3937	16341	10924	7098	21734	17321	34379	27377	44368	126679	98941	332551	844969	0
LFQ	23	0	0	15722	0	0	69	359	835	2178	4038	61	84	290	556	576	3048	1179	247	1257	1653	474	1177	1144	2701	5937	3707	3305	4896	2792	4005	15955	11475	7201	22362	17707	34664	28309	44837	128338	100150	334631	835399	0
LFQ	24	0	0	16383	0	0	91	433	1048	2381	3965	61	88	372	628	639	3096	1021	306	1246	1768	566	1285	1367	2923	5956	3269	3638	5038	3319	4292	15550	11765	7701	23326	17933	36064	29808	45678	130287	100923	337292	821809	0
LFQ	25	0	0	16843	0	0	66	347	916	1940	3271	55	101	406	736	666	3253	798	295	1033	1410	783	1143	1346	3053	5615	3167	3467	4157	3669	3646	15235	10730	7101	22919	16114	36082	25486	46796	113922	108376	314784	863587	0
LFQ	26	0	0	17410	0	0	56	344	951	1817	3017	53	99	373	704	672	2869	571	301	1042	1347	689	1082	1278	3036	5253	2479	3713	4166	3656	3774	13660	10611	7056	21614	15907	35111	26059	45883	107305	103374	301020	894959	0
LFQ	27	0	0	18005	0	0	83	384	1027	1782	2870	92	113	332	730	738	2609	473	327	1096	1405	687	1129	1291	3237	5183	2216	3824	4115	3980	3826	12610	10761	7215	21479	16297	35469	27240	46449	104971	100804	292793	905668	0
LFQ	28	0	0	18586	0	0	70	416	1124	1838	2650	67	103	323	830	823	2472	370	324	1104	1357	750	1015	1399	3370	5028	1906	3886	3951	4209	3978	12169	10929	7541	21160	17013	36127	28693	47534	103159	102024	287384	907627	0
